family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,2,0.299359,0.354134,0.010043,0.194794,0.777344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,4,0.360776,0.408628,0.010423,0.194794,0.777344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,8,0.409419,0.457828,0.010837,0.194794,0.777344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,16,0.459063,0.502934,0.011278,0.194794,0.777344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,32,0.508609,0.545943,0.011784,0.194794,0.777344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,,64,512,1.682812,64,0.543661,0.582962,0.012305,0.194794,0.777344
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,1,0.187576,0.20056,0.009688,0.033203,0.53125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,2,0.258179,0.264397,0.011422,0.033203,0.53125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,4,0.317125,0.322732,0.012895,0.033203,0.53125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,8,0.370422,0.373526,0.014073,0.033203,0.53125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,16,0.408885,0.419772,0.015393,0.033203,0.53125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,32,0.461492,0.466076,0.016929,0.033203,0.53125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,64,0.499242,0.506771,0.018266,0.033203,0.53125
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,1,0.210782,0.228252,0.011807,0.081299,0.710938
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,2,0.277489,0.288246,0.013352,0.081299,0.710938
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,4,0.332622,0.344285,0.015076,0.081299,0.710938
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,8,0.384495,0.39412,0.016742,0.081299,0.710938
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,16,0.425059,0.442835,0.018997,0.081299,0.710938
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,32,0.473647,0.488111,0.021291,0.081299,0.710938
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,64,0.49166,0.524226,0.02298,0.081299,0.710938
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,1,0.23285,0.269671,0.01459,0.163574,0.914062
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,2,0.282405,0.327447,0.015773,0.163574,0.914062
sae/sae2m/enc,qwen36-27b/sae2m,enc,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,2,64,128,1.682812,4,0.336698,0.379374,0.016826,0.163574,0.914062
