family,sae_key,sae_side,source,maemm,engine,run_tag,stratum,n,n_features,gate,k,ratio_median,ratio_mean,ratio_se_iid,item_fired,feat_firing
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,1,0.196589,0.222535,0.011988,0.053345,0.609375
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,2,0.255391,0.28367,0.013467,0.053345,0.609375
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,4,0.307162,0.340311,0.014724,0.053345,0.609375
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,8,0.367897,0.393173,0.01597,0.053345,0.609375
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,16,0.424106,0.439887,0.017074,0.053345,0.609375
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,32,0.45578,0.481928,0.01822,0.053345,0.609375
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,0,64,128,1.682812,64,0.511531,0.52684,0.019588,0.053345,0.609375
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,1,0.216111,0.249557,0.014174,0.097778,0.773438
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,2,0.275856,0.307755,0.015603,0.097778,0.773438
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,4,0.325312,0.361114,0.016742,0.097778,0.773438
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,8,0.366876,0.407719,0.017685,0.097778,0.773438
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,16,0.410743,0.451781,0.018639,0.097778,0.773438
sae/sae2m/dec,qwen36-27b/sae2m,dec,2026-09-18_rl-last16-lr5e-7@vllm,qwen36-27b/2026-09-18_rl-last16-lr5e-7,vllm,,1,64,128,1.682812,32,0.45452,0.492557,0.019772,0.097778,0.773438
