doc,coverage_n7,coverage_n13
1059,0.005,0
1060,0.003534,0
1061,0,0
1062,0,0
1063,0,0
1064,0.3,0.261146
1065,0.0125,0
1066,0,0
1067,0,0
1068,0,0
1069,0.001976,0
1070,0.003311,0
1071,0.001186,0
1072,0.00495,0
1073,0.024691,0
1074,0,0
1075,0.013605,0
1076,0.005329,0
1077,0,0
1078,0.000944,0
1079,0.002981,0
1080,0.004975,0
1081,0,0
1082,0.009615,0
1083,0,0
1084,0,0
1085,0.002183,0
1086,0,0
1087,0.121951,0.051282
1088,0,0
1089,0.053232,0.011673
1090,0.013193,0
1091,0,0
1092,0,0
1093,0,0
1094,0,0
1095,0,0
1096,0.001724,0
1097,0,0
1098,0,0
1099,0.013043,0
1100,0.001689,0
1101,0,0
1102,0.006757,0
1103,0.000751,0
1104,0,0
1105,0.020833,0
1106,0.053763,0
1107,0,0
1108,0.05247,0.022649
1109,0,0
1110,0,0
1111,0,0
1112,0.155963,0.106796
1113,0,0
1114,0.001346,0
1115,0,0
1116,0.042105,0
1117,0.007342,0
1118,0,0
1119,0,0
1120,0.062102,0.024116
1121,0,0
1122,0,0
1123,0,0
1124,0.026087,0
1125,0.004082,0
1126,0,0
1127,0,0
1128,0,0
1129,0.005164,0
1130,0,0
1131,0,0
1132,0,0
1133,0,0
1134,0.005226,0
1135,0,0
1136,0,0
1137,0.000974,0
1138,0,0
1139,0,0
1140,0.017391,0
1141,0,0
1142,0.002717,0
1143,0.01626,0
1144,0,0
1145,0.002636,0
1146,0,0
1147,0.002144,0
1148,0.045113,0
1149,0.007742,0
1150,0.001828,0
1151,0,0
1152,0,0
1153,0,0
1154,0.02371,0.015471
1155,0,0
1156,0,0
1157,0.007117,0
1158,0.012594,0
1159,0.033153,0.010112
1160,0.00277,0
1161,0,0
1162,0,0
1163,0,0
1164,0,0
1165,0,0
1166,0,0
1167,0,0
1168,0.002237,0
1169,0,0
1170,0,0
1171,0.003802,0
1172,0.013514,0
1173,0.003133,0
1174,0,0
1175,0.002169,0
1176,0.002825,0
1177,0,0
1178,0.000798,0
1179,0.00251,0
1180,0.005882,0
1181,0.007435,0
1182,0.005642,0
1183,0,0
1184,0,0
1185,0.006803,0
1186,0,0
1187,0.00114,0
1188,0.005254,0
1189,0.003158,0
1190,0.008955,0
1191,0,0
1192,0,0
1193,0.004469,0
1194,0.000723,0
1195,0,0
1196,0,0
1197,0.00625,0
1198,0,0
1199,0.001531,0
1200,0,0
1201,0.033113,0
1202,0,0
